Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C41, C42, C58",0805,5,100pF,
"C10, C12, C15, C18, C30, C34, C4, C7",0805,8,2.2nF,
"C11, C27, C40, C5, C55, C56, C6, C63, C8",0805,9,100nF,
"C13, C17, C24, C32",0805,4,12pF,
"C16, C23, C31",0805,3,20pF,
"C19, C20, C22, C28, C3, C36, C38, C46, C47, C48, C49, C50, C53, C54, C9",0805,15,10uF,
C2,0805,1,3.2pF,
"C21, C37, C51, C52",0805,4,24pF,
"C25, C29, C33",0805,3,10nF,
"C26, C35",0805,2,1uF,
C39,0805,1,1nF,
"C43, C44",0805,2,2pF,
C45,0805,1,3.3pF,
"C57, C59, C60, C61, C62",1206,5,10uF,
"D1, D2",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,2,BAT54S,
"D3, D4",0805,2,LED,
D5,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,BAR6405,
F1,0805,1,6V 0.75A,
J1,IPEX-SMD_BWIPX-1-001E,1,U.FL,C5137195
"J2, USART1, USART2",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Socket,
J3,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,USB_C_Receptacle_USB2.0_16P,C2765186
J4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,EN_BUZZ,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"L1, L2, L5",0805,3,12nH,
"L3, L4",0805,2,10nH,
L6,0805,1,100nH,
L7,0805,1,20uH,
"Q1, Q3, Q4, Q5, Q6, Q7",SOT-363_SC-70-6,6,BC847BS,C41375126
"Q10, Q11, Q2, Q9",Q_SOT-23,4,MMBT3904,C7420353
"R1, R2, R24, R42, R6",0805,5,1.5k,
"R10, R7",0805,2,R,
"R11, R12, R18, R19",0805,4,750,
"R13, R14",0805,2,2k,
"R15, R17, R30, R40, R41",0805,5,5.1k,
"R16, R22, R31",0805,3,30,
"R20, R35, R4, R5, R8, R9",0805,6,4.7k,
"R21, R23, R25, R32, R33, R43",0805,6,10k,
"R26, R27",0805,2,1M,
"R28, R29",0805,2,3k,
R3,0805,1,560,
"R34, R36",0805,2,0R,
"R37, R38, R39, R45, R46",0805,5,1k,
R44,0805,1,100R,
TP1,TestPoint_Pad_D1.5mm,1,T+,
TP2,TestPoint_Pad_D1.5mm,1,J1,
TP5,TestPoint_Pad_D1.5mm,1,485-EN,
TP6,TestPoint_Pad_D1.5mm,1,J2,
TP7,TestPoint_Pad_D1.5mm,1,3V3,
TP8,TestPoint_Pad_D1.5mm,1,5V,
TP9,TestPoint_Pad_D1.5mm,1,GND,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,1,Si4463,
U2,LQFP-48_7x7mm_P0.5mm,1,N32G435_LQFP48,C8734
U3,TSOP-5_1.65x3.05mm_P0.95mm,1,RT9013,
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,SN74LVC2G04DBVR,C10428
U5,SOT-23-6,1,USBLC6-2SC6,
U6,BUZ-TH_BD9.0-P5.00-D0.6-FD,1,HYT-0905_C7544823,C7544823
"X1, X2",OSC-SMD_4P-L3.2-W2.5-BL,2,X322525MOB4SI,C9006
