Designator,Mid X,Mid Y,Rotation,Layer
C1,41.8625,-110.7,180.0,top
C10,76.7,-104.8,90.0,top
C11,81.4,-103.8,180.0,top
C12,84.4,-104.8,90.0,top
C13,93.0,-102.3,180.0,top
C14,94.1,-99.4,270.0,top
C15,59.0625,-98.3,180.0,top
C16,59.0,-95.9,180.0,top
C17,58.9625,-93.7,180.0,top
C18,54.9,-86.8,180.0,top
C19,59.1,-86.8,180.0,top
C2,44.8,-109.8,90.0,top
C20,63.5,-98.1,270.0,top
C21,61.9,-71.5,180.0,top
C22,51.8,-85.9,270.0,top
C23,45.0,-90.4,180.0,top
C24,44.9,-87.0,180.0,top
C25,38.1,-96.0,180.0,top
C26,49.9,-81.1,180.0,top
C27,85.0,-96.4,270.0,top
C28,87.1,-96.4,270.0,top
C29,70.3,-94.2,180.0,top
C3,65.9,-107.5625,180.0,top
C30,74.3,-94.2,180.0,top
C31,74.3,-92.0,180.0,top
C32,74.3,-89.8,180.0,top
C33,70.3,-87.6,180.0,top
C34,72.3,-85.4,180.0,top
C35,81.7,-85.3,0.0,top
C36,87.2,-88.8,270.0,top
C37,83.4,-80.6,180.0,top
C38,77.0,-83.4,180.0,top
C39,58.0,-83.3,180.0,top
C4,50.6,-106.7,90.0,top
C40,62.1,-81.1,180.0,top
C41,88.5375,-93.4,180.0,top
C42,93.5,-92.5,270.0,top
C43,95.0,-85.5,0.0,top
C44,95.0,-83.5,0.0,top
C45,90.5,-78.8,270.0,top
C46,97.4,-79.9,0.0,top
C47,97.4,-77.8,0.0,top
C48,97.4,-75.7,0.0,top
C49,97.4375,-73.6,0.0,top
C5,53.6375,-105.8,180.0,top
C50,97.4,-71.5,0.0,top
C51,85.3,-73.9,0.0,top
C52,61.8,-77.0,0.0,top
C53,71.0,-62.2625,270.0,top
C54,62.8,-64.4625,270.0,top
C55,60.6,-64.4625,270.0,top
C56,64.9,-64.4625,270.0,top
C57,39.4375,-88.5,0.0,bottom
C58,77.6625,-74.7,180.0,bottom
C59,39.4375,-86.0,0.0,bottom
C6,69.8,-105.5,0.0,top
C60,39.4375,-83.5,0.0,bottom
C61,39.4375,-81.0,0.0,bottom
C62,39.4375,-78.5,0.0,bottom
C63,67.2,-67.4,0.0,top
C7,58.5,-106.8,90.0,top
C8,49.9,-101.9,180.0,top
C9,44.3,-99.9,0.0,top
D1,44.8,-105.7,270.0,top
D2,89.3,-102.7,0.0,top
D3,57.375,-64.3,180.0,top
D4,57.4,-66.5,180.0,top
D5,95.0,-96.0,0.0,top
F1,93.4,-58.0,180.0,top
J1,38.65,-110.7,180.0,top
J2,82.63,-63.0,90.0,top
J3,100.4175,-64.6,90.0,top
J5,40.7,-73.1,180.0,top
L1,56.5,-106.8,90.0,top
L2,78.6,-104.8,270.0,top
L3,92.8,-88.6,270.0,top
L4,92.2,-84.7,270.0,top
L5,90.5,-82.4,270.0,top
L6,93.5,-77.8,0.0,top
L7,97.7,-97.2,270.0,top
Q1,45.45,-96.65,0.0,top
Q10,73.94,-101.2,180.0,top
Q11,55.95,-102.46,90.0,top
Q2,41.9,-96.5,90.0,top
Q3,77.95,-101.2,0.0,top
Q4,60.1,-102.3,0.0,top
Q5,78.0,-97.9,270.0,top
Q6,67.9,-97.3,270.0,top
Q7,49.4,-91.7,180.0,top
Q9,57.35,-72.0,90.0,top
R1,48.5,-106.7,270.0,top
R11,52.9,-96.7,270.0,top
R12,52.9,-92.8,90.0,top
R13,58.9,-91.5,0.0,top
R14,63.2,-90.3,0.0,top
R15,63.2,-93.7,0.0,top
R16,63.2,-86.8,180.0,top
R17,48.8,-87.0,0.0,top
R18,48.8,-84.9,0.0,top
R19,44.9,-84.9,0.0,top
R2,65.9,-105.4625,180.0,top
R20,38.1,-98.1,0.0,top
R21,37.2,-101.0,90.0,top
R22,53.8,-81.1,0.0,top
R23,81.9,-99.4,180.0,top
R24,85.8,-99.4,180.0,top
R25,82.8,-96.4,270.0,top
R26,70.3,-92.0,0.0,top
R27,70.3,-89.8,0.0,top
R28,74.3,-87.6,0.0,top
R29,81.4,-87.7,0.0,top
R3,49.9,-99.8,0.0,top
R30,81.4,-89.8,0.0,top
R31,85.9,-85.3,180.0,top
R32,72.3,-82.4,90.0,top
R33,58.0,-81.1,0.0,top
R34,62.1,-83.3,0.0,top
R35,65.2,-82.4,270.0,top
R36,68.8,-82.4,270.0,top
R37,91.2,-97.4,180.0,top
R38,91.2,-95.4,0.0,top
R39,57.375,-62.2,0.0,top
R4,66.9,-101.1,90.0,top
R40,94.2,-61.7,90.0,top
R41,93.2,-68.3,180.0,top
R42,90.2,-62.0,90.0,top
R43,64.1,-68.4,90.0,top
R44,45.2,-80.3,180.0,top
R45,57.4,-68.6,0.0,top
R46,57.4,-75.1,0.0,top
R5,69.0,-101.1,270.0,top
R6,86.5,-104.8,270.0,top
R8,48.6,-96.7,270.0,top
R9,50.8,-96.7,270.0,top
U1,90.0,-74.275,180.0,top
U2,70.35,-74.44,270.0,top
U3,67.86,-62.3125,180.0,top
U4,39.1,-92.35,90.0,top
U5,93.1,-65.4,0.0,top
U6,47.8,-71.8,0.0,top
USART1,44.1,-59.6,90.0,top
USART2,44.09,-64.6,90.0,top
X1,83.5,-77.4,270.0,top
X2,61.8,-74.3,0.0,top
